Case Number,Date/Time Opened,Term,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2021-182140,4/11/2021 15:48,Term 4,Welfare,Metropolitan South,Iron Cove,Student Behaviour,,,"An Executive reports a student sustained an injury due to another students behaviour on school grounds. First aid was applied and an Ambulance was called. Parents informed. Paramedics conveyed the student to hospital. Support offered. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2021-182191,4/11/2021 16:04,Term 4,Criminal Activity,Metropolitan North,Quakers Hill,Bomb Threat/Suspicious Package,,,Executive staff reports concerns in the school grounds following inappropriate comments made by a student. Police was called and attended onsite. Parent was made aware. Director was notified. School is managing at a local level.,1,On workplace grounds
S-2021-182690,5/11/2021 11:21,Term 4,Violence,Metropolitan South and West,Cowpasture,Assault,,Threat / Intimidation / Offens. Conduct,"An Executive staff member reports a student was physically assaulted and intimidated by other students on school grounds. Parents have been notified. First aid has been administered. Supports are in place for all students. School is managing the matter. This incident was filmed and the Media Unit will be notified. Director, Educational, Leadership will be made aware.",1,On workplace grounds
S-2021-182801,5/11/2021 12:03,Term 4,Emergency Situation,Regional South,Wollondilly,Utility Failure,,,"Executive staff report that the water supply has been turned off on school grounds as a result of a leakage. No injuries have been sustained. School is managing the matter and has remained operational. Director, Educational leadership will be notified.",1,On workplace grounds
S-2021-182885,5/11/2021 12:34,Term 4,Violence,Regional North,Blue Mountains,Indecent Assault,,,"Executive staff member reports allegations have been made that a student was ####  assaulted by another student on school grounds. The school is investigating the matter. Police were contacted. Carers are aware. Supports are in place. #### reporting has been followed. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-182923,5/11/2021 12:52,Term 4,Violence,Regional North,Brisbane Water,Allegations Of Sexual Assault,,,"An Executive staff member reports a student disclosed allegations of #### assault involving another student on school grounds. Parents were notified. #### reporting has been followed. Supports have been put in place, and the school is managing the matter. The Director of Educational Leadership is aware.",1,On workplace grounds
S-2021-183017,5/11/2021 13:40,Term 4,Welfare,Regional North and West,Hunter,Student Welfare Concerns,Absconding / Missing Student,,"Executive staff member reports of welfare concerns for a student who has absconded school grounds and left in an unknown motor vehicle. Carer has been contacted and Police have been called. Director, Educational Leadership will be advised.",1,On workplace grounds
S-2021-183076,5/11/2021 14:08,Term 4,Violence,Regional North,Mooney Mooney,Assault,,Staff Welfare Concerns,"An executive staff member reports an injury sustained by a student after a physical altercation on school grounds. First aid was applied. Parents notified and conveyed the student for medical treatment. #### reporting followed. Support is in place for the student and staff impacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-183138,5/11/2021 14:38,Term 4,Violence,Metropolitan South,Bondi,Assault,,,A staff member reports injuries sustained by students involved in an assault on school grounds. First aid applied. Parents informed. Ambulance contacted and conveyed ####  students to hospital. Support will be offered. Executive staff are aware.,1,On workplace grounds
S-2021-183178,5/11/2021 14:55,Term 4,Violence,Metropolitan North,Cambridge Park,Indecent Assault,,,An employee has expressed wellbeing concerns following an ##### assault on school grounds. Supports are in place for the employee. The school is managing the matter. #### reporting has been followed. Executive staff are aware.,1,On workplace grounds
S-2021-183205,5/11/2021 15:02,Term 4,Violence,Metropolitan South and West,Eastern Creek,Assault,,,"An executive staff member reports ####  students have physically assaulted another student on school grounds. Staff intervened. First aid offered. Parents have been made aware of the incident, and the students have since been picked up. The school is continuing to manage the matter. Supports to be organised.",1,On workplace grounds
S-2021-183310,5/11/2021 15:37,Term 4,Emergency Situation,Metropolitan South,Strathfield,Utility Failure,,,"Executive staff reports of a alarm in a water hydrant being triggered. Fire Brigade was called to the school to investigate and deactivate alarm. No impact to school operations. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-183357,5/11/2021 15:48,Term 4,Violence,Regional North,Blue Mountains,Assault,,Staff Welfare Concerns,"An executive staff member reports student welfare concerns following an incident that occurred on school grounds, involving a staff member. Parents have been informed. #### reporting has been followed. The school is managing the matter and supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-183471,5/11/2021 16:33,Term 4,Violence,Regional North,Cessnock,Indecent Assault,,,"School reports of a student ####  assaulting other students on school grounds. Parent was notified. #### reporting has been followed. Police will be contacted. Executive staff aware and Director, Educational Leadership will be advised.",1,On workplace grounds
S-2021-183871,8/11/2021 9:49,Term 4,Violence,Metropolitan South,Bondi,Indecent Assault,,,"An executive staff member reports concerns for a student following ongoing behaviour occurring on school grounds. The matter is being managed, ###### Reporting to be conducted. Parents notified.",1,On workplace grounds
S-2021-183955,8/11/2021 10:39,Term 4,Violence,Metropolitan South,Canterbury,Assault,,,A staff member reports injuries sustained by a student who was assaulted by another student on school grounds. First aid applied. Parents informed. Ambulance contacted and conveyed the injured student to hospital. Support is in place. Executive staff are aware.,1,On workplace grounds
S-2021-184057,8/11/2021 11:32,Term 4,Violence,Metropolitan South and West,Liverpool,Allegations Of Sexual Assault,,,"An Executive staff member reports a student disclosed allegations of #### assault from another student on school grounds. Parents are aware. Police have been contacted and attended. A #### report will be followed. Supports have been put in place, and the school is managing the matter. The Director of Educational Leadership is aware.",1,On workplace grounds
S-2021-184107,8/11/2021 12:00,Term 4,Welfare,Metropolitan South,Botany Bay,Student Behaviour,,Malicious Damage,"A student has engaged in unsafe behaviour and has caused significant damage to property on school grounds. Parents were notified and collected the student. Medical treatment has been sought. Police will be contacted. Internal notifications will be made. The school will continue to manage the matter and supports will be put in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-184248,8/11/2021 13:07,Term 4,Emergency Situation,Rural North,Barwon,Flood,,,"Executive staff member reports due heavy rain and road closures in the area school has been made non operational. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-184292,8/11/2021 13:28,Term 4,Criminal Activity,Rural North,Armidale,Bomb Threat/Suspicious Package,,,Executive staff reports concerns in the school grounds following a threat made by a student. Police will be called. Supports are in place. Parent was made aware. Director was notified. School is managing at a local level,1,On workplace grounds
S-2021-184414,8/11/2021 14:32,Term 4,Violence,Regional North,Lake Macquarie East,Indecent Assault,,Problematic and Harmful Sexualised Behaviour,"Executive staff member reports a student has ####  assaulted ##### students on school grounds and reports displaying inappropriate behaviour. Parents contacted. #### reporting has been followed. Supports have been organised. Director, Educational leadership is aware.",1,On workplace grounds
S-2021-184454,8/11/2021 14:49,Term 4,Violence,Rural South and West,Queanbeyan,Indecent Assault,,,Executive staff reports inappropriate behaviour of a student towards another student. Supports are in place. #### reporting was followed. ######,1,On workplace grounds
S-2021-184530,8/11/2021 15:16,Term 4,Malicious Use of Technology,Regional South,Batemans Bay,Nuisance Use of Technology,,Staff Welfare Concerns,"An employee reports a students involvement with nuisance use of technology on a social media application. The images involved staff members within the school. The video has since been deleted. Parents have been notified. Media Unit have been notified. Supports are in place for staff and students. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-184679,8/11/2021 16:07,Term 4,Violence,Metropolitan North,Cambridge Park,Assault,,Possession of a Weapon,"Executive employee reports a physical altercation took place off school grounds involving multiple students and members of the community who were in possession of weapons. Police were contacted and the incident is being investigated. Parents were notified. School is managing the matter. Supports will be put in place. Media unit and The Director, Educational Leadership have been informed.",1,On workplace grounds
S-2021-184703,8/11/2021 16:20,Term 4,Welfare,Metropolitan North,The Ponds,Attempted Suicide,,,"An employee reports a student has attempted #### on school grounds. Staff member intervened. No physical injuries sustained. Parents were notified and collected the student. #### reporting will be followed. The school is continuing to manage the matter and supports are in place. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2021-184730,8/11/2021 16:34,Term 4,Welfare,Regional North,Lake Macquarie North,Student Behaviour,,Malicious Damage,School reports a student behaving in an unsafe manner has sustained and injury from damaging school property. First aid administered. Parent notified and Ambulance was called. Student was conveyed to hospital for medical treatment. Executive staff member aware and school will manage matter locally.,1,On workplace grounds
S-2021-184773,8/11/2021 16:58,Term 4,Violence,Metropolitan North,Cambridge Park,Indecent Assault,,,A staff member reports well-being concerns after being assaulted by a student on school grounds. No injuries sustained. Support is in place. Executive staff are aware.,1,On workplace grounds
