Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-453738,5/04/2023 14:12,Term 1,Violence,Regional South,Lake Illawarra North,Assault,,,"An Executive staff member reports a student physically assaulted another student on school grounds. First aid has been administered. Parents have been notified. Medical treatment has been sought, Supports are in place,",1,On workplace grounds
S-2023-453807,5/04/2023 14:35,Term 1,Violence,Regional North,Cessnock,Assault,,,An executive employee reports an assault between ##### students on school grounds. First aid was provided. Students were collected by parents. Media unit have been notified. Police will be contacted.,1,On workplace grounds
S-2023-453999,5/04/2023 15:34,Term 1,Violence,Regional South,Wollondilly,Assault,,,An executive staff member reports a student assaulted another student on school grounds. Ambulance and police were called and##### student was conveyed to hospital for further treatment. Parents have been notified. Supports are in place and school is currently managing the matter.,1,On workplace grounds
S-2023-454038,5/04/2023 15:44,Term 1,Violence,Rural North,Namoi,Threat / Intimidation / Offens. Conduct,,,"An executive staff member reports concerns following threatening behaviour by ##### students toward another student during an offsite school activity. No injuries were sustained. Police were called and they attended the premises. Parent of the impacted student was contacted and the student collected. Supports are in place for the students involved. Media Unit will be advised. Director, Educational Leadership will be notified.",1,Off site activity
S-2023-454041,5/04/2023 15:45,Term 1,Malicious Use of Technology,Metropolitan South and West,Fairfield,Nuisance Use of Technology,,,"An Executive staff member reports student nuisance use of technology on school grounds. Parents were notified. The school is managing the matter. Supports are in place. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-454109,5/04/2023 16:03,Term 1,Violence,Regional South,Yass,Assault,,,"An Executive staff member reports of a student assaulting another student on school grounds. First aid was administered. Parents were notified. Media unit notified. The school is managing the matter. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-454220,5/04/2023 16:38,Term 1,Violence,Metropolitan South and West,Bankstown,Threat / Intimidation / Offens. Conduct,,,"An Executive staff member reports a student in a #####  state making threats towards another student on school grounds. Parents notified. Supports are in place. Director, Educational Leadership has been made aware.",1,On workplace grounds
S-2023-454232,5/04/2023 16:41,Term 1,Violence,Rural South and West,Temora,Threat / Intimidation / Offens. Conduct,,,An executive staff member reports a students displayed #######  behaviour towards them on school grounds. No injuries sustained. Parents have been notified. Police were notified and attended the school. Supports are in place and school is managing the matter.,1,On workplace grounds
S-2023-454253,5/04/2023 16:50,Term 1,Violence,Rural South and West,Temora,Allegations Of Sexual Assault,,,"An executive staff member reports an allegation of ##### assault which took place off school grounds. Parents have been notified and police have been contacted. ##### has been followed and supports are in place. School is currently managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-454320,5/04/2023 17:16,Term 1,Welfare,Regional North,Blue Mountains,Student Behaviour,,,An employee reports that a student has sustained an injury following an incident of student behaviour on school grounds. First aid was administered. Parents were notified. The student was conveyed to hospital. Executive staff have been notified.,1,On workplace grounds
S-2023-454418,6/04/2023 7:48,Term 1,Violence,Regional North and West,Macleay Valley,Assault,,Threat / Intimidation / Offens. Conduct,"Executive staff report a student was physically assaulted by another student on school grounds. No first aid administered. Police were contacted. Parents were informed. The school is managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-454441,6/04/2023 8:18,Term 1,Weapon,Rural South and West,Temora,Possession of a Weapon,,,Executive staff report a student was found to be in possession of a weapon on school grounds. Nil physical injuries and no intention to harm. Parents informed. Police contacted and attended. School managing the matter and supports are in place.,1,On workplace grounds
S-2023-454580,6/04/2023 9:10,Term 1,Welfare,Metropolitan South and West,Liverpool,Student Behaviour,,,An employee reports being impacted by a student on school grounds. No first aid administered. Carers are aware. Supports in place. Police contacted. Executive staff are aware.,1,On workplace grounds
S-2023-454607,6/04/2023 9:21,Term 1,Emergency Situation,Rural South and West,West Wyalong,Utility Failure,,,"Executive staff report a utility failure due to landlines being out of order. Parents and staff will be informed. School is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-454636,6/04/2023 9:32,Term 1,Violence,Rural South and West,Orange,Assault,,,"An Executive staff member reports of a student assaulting another student on school grounds. First aid was administered. Parents were notified. The school is managing the matter. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-454659,6/04/2023 9:43,Term 1,Weapon,Rural South and West,Albury,Possession of a Weapon,,,"Executive staff member reports a student was in possession of a weapon on school grounds. The weapon was confiscated. Parents were notified. Director, Educational Leadership to be made aware.",1,On workplace grounds
S-2023-454669,6/04/2023 9:46,Term 1,Violence,Metropolitan North,Pittwater,Threat / Intimidation / Offens. Conduct,,,"Executive staff member reports a student has threatened a staff member and a student on school grounds. No physical injuries were sustained. Parents have been contacted. Police have been contacted.##### student has left site. Director, educational leadership has been advised",1,On workplace grounds
S-2023-454697,6/04/2023 10:00,Term 1,Welfare,Regional North,Hawkesbury,Problematic and Harmful Sexualised Behaviour,,,An executive staff member reports  #### students have disclosed inappropriate behaviour on school grounds and on a social media platform. The school is managing the matter. Parents will be notified. ##### was followed. Supports are in place. The Director of Educational Leadership is aware.,1,On workplace grounds
S-2023-454875,6/04/2023 11:01,Term 1,Welfare,Regional North,Port Stephens,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports student engaging in problematic and ##### behaviour towards other students on school grounds. ##### has been followed. Executive staff aware. ####### ,1,On workplace grounds
S-2023-454953,6/04/2023 11:23,Term 1,Violence,Metropolitan South and West,Glenfield,Assault,,Threat / Intimidation / Offens. Conduct,An executive staff member reports that staff were assaulted and threatened by ##### students on school grounds. The school was placed into a temporary lockdown. The police were notified. Supports are in place. The Relieving Director of Educational Leadership is aware.,1,On workplace grounds
S-2023-454976,6/04/2023 11:34,Term 1,Violence,Metropolitan North,The Hills,Assault,,,"An Executive staff member reports ##### students were involved in a physical altercation on school grounds. First aid was administered. Parents have been notified. Supports are in place. Director, Educational, Leadership will be made aware.",1,On workplace grounds
S-2023-454997,6/04/2023 11:44,Term 1,Welfare,Regional South,Camden,Student Behaviour,,,An employee reports welfare concerns for students following an incident on school grounds. No injuries sustained. ##### will be completed. Supports are in place. Executive staff are aware.,1,On workplace grounds
S-2023-455025,6/04/2023 12:02,Term 1,Violence,Regional South,Lake Illawarra North,Allegations Of Sexual Assault,,Child Protection,"Executive staff member reports ####### involving a student at risk####### . Police were notified. Parents to be notified. Supports are in place. ##### followed. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-455042,6/04/2023 12:08,Term 1,Welfare,Metropolitan North,The Hills,Traffic Accident,,,Staff member reports of a traffic accident incident involving a student during an offsite activity. Ambulance contacted and conveyed student to hospital. Parents are aware. Police were contacted. Executive staff are aware.,1,Off site activity
S-2023-455113,6/04/2023 12:30,Term 1,Emergency Situation,Metropolitan South and West,Cowpasture,Utility Failure,,Student Behaviour,"An executive employee reports an utility failure on school grounds. School is managing the matter. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-455132,6/04/2023 12:36,Term 1,Malicious Use of Technology,Regional North and West,Hunter,Nuisance Use of Technology,,Threat / Intimidation / Offens. Conduct,"Executive staff reports student have shared inappropriate images on social media off school grounds. ##### was followed. Parents are aware. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-455140,6/04/2023 12:40,Term 1,Violence,Metropolitan North,Quakers Hill,Assault,,,An employee reports of a student assaulting another student during an offsite activity. First aid was administered. Parents were notified. The school is managing the matter. Supports are in place. Executive staff will be made aware.,1,Off site activity
S-2023-455146,6/04/2023 12:41,Term 1,Weapon,Regional North and West,Coffs Harbour,Possession of a Weapon,,,Executive staff report a student was found to be in possession of a weapon on school grounds. Nil physical injuries and no intention to harm. Parents contacted and collected student. Police attended. School managing the matter and supports are in place.,1,On workplace grounds
S-2023-455162,6/04/2023 12:48,Term 1,Emergency Situation,Rural North,Western Plains,Utility Failure,,,"An executive staff member reports the school will be non operational #######  due to a scheduled power outage. Staff will be advised. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-455222,6/04/2023 13:09,Term 1,Violence,Rural South and West,Cowra,Threat / Intimidation / Offens. Conduct,,Indecent Exposure,Executive staff reports a student has displayed inappropriate behaviors on school grounds. ##### will be followed. Parents will be notified. School is managing the matter. Supports are available.,1,On workplace grounds
S-2023-455243,6/04/2023 13:14,Term 1,Violence,Regional North and West,Coffs Harbour,Assault,,Staff Welfare Concerns,"Executive staff report student has physically assaulted another student on school grounds. Parents contacted and attended. Parent has verbally assaulted and threatened staff. Police contacted and attended. Parent and student left school grounds. School is manging the matter and supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-455246,6/04/2023 13:16,Term 1,Violence,Regional North,Callaghan,Threat / Intimidation / Offens. Conduct,,,"An executive staff member reports that a student has threatened a staff member on school grounds. Parents have been notified. Police will be notified. Supports are in place. ##### will be followed. Director, Educational Leadership will be notified.",1,On workplace grounds
