Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-061521,8/03/2022 9:19,Term 1,Emergency Situation,Regional South,Wollondilly,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061528,8/03/2022 9:20,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061540,8/03/2022 9:22,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061550,8/03/2022 9:23,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061546,8/03/2022 9:23,Term 1,Emergency Situation,Regional South,Camden,Flood,,,An Executive repots the school will operate on minimal supervision due to the floods. School community and DEL are aware.,1,On workplace grounds
S-2022-061561,8/03/2022 9:27,Term 1,Emergency Situation,Regional South,Campbelltown,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061591,8/03/2022 9:33,Term 1,Emergency Situation,Regional South,Goulburn,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061615,8/03/2022 9:44,Term 1,Emergency Situation,Regional South,Wollondilly,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the local area. Director, Educational Leadership is aware",1,On workplace grounds
S-2022-061634,8/03/2022 9:59,Term 1,Emergency Situation,Rural North,Grafton,Flood,,,"An Executive reports the school will be non operational due to the floods. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061639,8/03/2022 10:03,Term 1,Emergency Situation,Metropolitan South,Kogarah,Flood,,,"School will be non operational ##### due to flooding in the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061653,8/03/2022 10:07,Term 1,Violence,Rural South and West,Griffith,Threat / Intimidation / Offens. Conduct,,Assault,"An executive staff member reports a student in a ##### state displayed ##### behaviour before assaulting another student and ##### employees on school grounds. First aid was not required. Parents of ##### students were notified and ##### student was collected. The school have managed the matter at a local level. Supports were provided to all persons involved and the Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061690,8/03/2022 10:16,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061762,8/03/2022 10:38,Term 1,Emergency Situation,Regional South,South Coast,Flood,,,An executive employee reports the school is operating under minimal supervision due to flooding in the area. Executive staff are aware.,1,On workplace grounds
S-2022-061842,8/03/2022 11:03,Term 1,Emergency Situation,Metropolitan South,Chullora,Severe Storm,,Exposure to Mould,"An executive staff member reports their school has had infrastructure damage ##### and now has potential exposure to mould as a result due to severe weather conditions. Schools Infrastructure will be contacted. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-061868,8/03/2022 11:10,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An Executive reports the school will be operating on minimal supervision. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061899,8/03/2022 11:18,Term 1,Emergency Situation,Metropolitan South,Kogarah,Severe Storm,,,"An executive staff member reports the school will be ceasing operations due to severe storm damage. Parents and staff were informed. Staff and students will be leaving school grounds. AMU will be notified. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-062002,8/03/2022 11:44,Term 1,Emergency Situation,Regional North,Hawkesbury,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the local area. Director, Educational Leadership is aware",1,On workplace grounds
S-2022-062130,8/03/2022 12:14,Term 1,Emergency Situation,Metropolitan North,North Sydney,Utility Failure,,,An Employee reports an incident on school grounds involving a blocked drain. Students and employee's have been evacuated. Repairs will be organised. All Executive staff are aware.,1,On workplace grounds
