Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2020-317607,12/08/2020 15:17,Term 3,Violence,Regional North,Newcastle,Allegations Of Sexual  Assault,,,Executive staff report of student welfare concerns regarding an incident that has occurred on school grounds. Police had been contacted and are investigating. Supports are in place for students involved.,1,On workplace grounds
S-2020-317686,12/08/2020 15:32,Term 3,Violence,Rural North,Peel,Assault,,,"One student xxxxx another student on school grounds, causing an injury. First aid was applied and an ambulance was called. The student was conveyed to hospital by ambulance for treatment.",1,On workplace grounds
S-2020-318712,13/08/2020 11:22,Term 3,Welfare,Metropolitan North,Mount Druitt,Self Harm,,,Executive staff have concerns for a student who expressed intentions of self harm on school grounds. No physical injuries have been sustained. An ambulance was called and the student was conveyed to hospital. Parents have been notified. Supports are in place. #### has been followed.,1,On workplace grounds
S-2020-318791,13/08/2020 11:43,Term 3,Violence,Regional North,Port Stephens,Indecent Assault,,,"Executive staff reports parents have reported to the school an allegation of indecent assault that occurred between XXXX students on school grounds. #### will be followed. The Director, Educational Leadership is aware and supports are in place.",1,On workplace grounds
S-2020-318797,13/08/2020 11:46,Term 3,Welfare,Metropolitan North,Mount Druitt,Student Welfare Concerns,Absconding / Missing Student,Assault,A student assaulted an employee and then absconded from school grounds. The incident was reported to police who have since located the student. The matter is being managed locally.,1,On workplace grounds
S-2020-318861,13/08/2020 12:01,Term 3,Violence,Regional South,Batemans Bay,Assault,,Threat / Intimidation / Offens. Conduct,"Executive staff reports that xxxxx students were involved in physical altercations on school grounds. Injuries were sustained and first aid was applied. Parents have been notified and the students were collected. One of the parents then made threats towards the family of some of the other students. Police will be notified. The Director, Educational Leadership is aware and is assisting the school.",1,On workplace grounds
S-2020-319086,13/08/2020 13:00,Term 3,Violence,Rural North,Lennox Coast,Allegations Of Sexual  Assault,,,"Executive staff member reports that a student has allegedly been #### assaulted by another student on school grounds. Parents are aware and police were contacted. Parents of other student will be notified. #### has been followed and supports will be organised. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-319187,13/08/2020 13:31,Term 3,Emergency Situation,Rural South and West,Mitchell,Utility Failure,,,"An executive staff member has reported that the school temporarily lost power and commenced a ceasing of operations on XXXX. All students were collected from the school grounds. School is now operational again. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-319824,13/08/2020 15:47,Term 3,Welfare,Regional North and West,Macleay Valley,Attempted Suicide,,Student Behaviour,"An executive reports welbeing concerns for a student after they attempted suicide on school grounds. First aid was administered and parents were advised. #### has been completed and supports are in place.  The Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-319993,13/08/2020 16:30,Term 3,Violence,Metropolitan South & South West,Penrith,Assault,,,Executive staff reports xxxxx students were involved in physical altercations on school grounds. Injuries were sustained and first aid was applied. One of the incidents were filmed and shared on social media. Police have been notified. Parents were contacted and students were collected from school. School is continuing to manage the incident.,1,On workplace grounds
