Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-294765,26/09/2022 10:30,Term 4,Welfare,Metropolitan North,Mount Druitt,Student Welfare Concerns,Absconding / Missing Student,,Executive staff reports student welfare concerns due to student absconding from school grounds. Support are in place. Ambulance called. Executive staff are aware.,1,On workplace grounds
S-2022-294878,27/09/2022 10:46,Term 4,Violence,Regional North and West,Bathurst,Indecent Assault,,,Executive staff report a student disclosing an incident of ##### Assault on school grounds by another student. ##### has been followed.#####,1,On workplace grounds
S-2022-294890,27/09/2022 11:27,Term 4,Violence,Rural North,Namoi,Indecent Assault,,,Executive staff member reports a student disclosing an incident of ##### Assault occurring during off site school activity by another student. ##### has been followed. Supports are in place. ######,1,Off site activity
S-2022-295022,28/09/2022 11:49,Term 4,Violence,Connected Communities,Connected Communities Team 2,Indecent Assault,,,Executive staff reports ##### behaviour of a student towards another student occurring on school grounds. ##### was followed. ######,1,On workplace grounds
S-2022-295099,29/09/2022 10:08,Term 4,Welfare,Regional North and West,Hunter,Traffic Accident,,,A staff member reports an employee sustained an injury due to a traffic accident that occurred off school grounds. An ambulance was contacted and conveyed employee to hospital. Supports to be offered. Executive staff are aware.,1,Off site activity
S-2022-295103,29/09/2022 10:12,Term 4,Violence,Metropolitan South and West,Fairfield,Allegations Of Sexual Assault,,,An executive staff member reports an allegations of ##### assault involving ##### students on and off school grounds. ##### has been followed. Supports are being arranged. #######,1,On workplace grounds
S-2022-295352,4/10/2022 11:45,Term 4,Violence,Metropolitan South and West,Penrith,Indecent Assault,,,An employee reports welfare concerns following an incident on school grounds. Supports offered. Executive staff to be notified.,1,On workplace grounds
S-2022-295622,9/10/2022 16:40,Term 4,Emergency Situation,Regional North,Windsor,Flood,,,"An Executive staff member reports the school is non-operational on ##### due to flood. The school community has been advised. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-295624,9/10/2022 18:05,Term 4,Emergency Situation,Regional North,Hawkesbury,Flood,,,School is non operational tomorrow ##### due to floods caused by the wet weather. Other executive staff members to be notified.,1,On workplace grounds
S-2022-295627,10/10/2022 8:04,Term 4,Emergency Situation,Regional North and West,Lithgow,Flood,,,"An Executive staff member reports the school will be non-operational on the ##### due to flooding in the area. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-295643,10/10/2022 8:22,Term 4,Emergency Situation,Rural North,Western Plains,Flood,,,"An Executive staff member reports the school is non-operational on ##### due to flood. The school community has been advised. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-295655,10/10/2022 8:42,Term 4,Criminal Activity,Metropolitan South and West,Bungarribee,Bomb Threat/Suspicious Package,,,"An executive staff member advised Police attended the school following a bomb threat. School was deemed safe and remains operational. Director, Educational Leadership has been notified.",1,On workplace grounds
